camp_id,Governorate,Community
camp_568,Aleppo,Mezraat Hemmo
camp_569,Aleppo,Little Tafreeah
camp_570,Aleppo,Maqri
camp_571,Aleppo,Bazagha
camp_572,Aleppo,Shweiha
camp_573,Aleppo,Tarhin
camp_574,Aleppo,Kreidiyeh
camp_575,Aleppo,Dana
camp_576,Aleppo,Al Azraq
camp_577,Aleppo,Qemmet Daghelbash
camp_578,Aleppo,Qabasin
camp_579,Aleppo,Abu Zendin
camp_580,Aleppo,Big Fikha
camp_581,Aleppo,Big Amya
camp_582,Aleppo,Brat
camp_583,Aleppo,Tal Jerji
camp_584,Aleppo,Kafr Amma
camp_585,Aleppo,Maaret Atarib
camp_586,Aleppo,Jeineh
camp_587,Aleppo,Tadil
camp_588,Aleppo,Babka
camp_589,Aleppo,Tuwama
camp_590,Aleppo,Sahara
camp_591,Aleppo,Kafr Noran
camp_592,Aleppo,Abzemo
camp_593,Aleppo,Kafr Taal
camp_594,Aleppo,Atareb
camp_595,Aleppo,Tqad
camp_596,Aleppo,Kafr Karmin
camp_597,Aleppo,Zarzita
camp_598,Aleppo,Mashhad
camp_599,Aleppo,Qatoura
camp_600,Aleppo,Deir Samaan
camp_601,Aleppo,Kafr Naseh Elatareb
camp_602,Aleppo,AL Ajami
camp_603,Aleppo,Arifiyah
camp_604,Aleppo,Um Adae Ajami
camp_605,Aleppo,Waqqah
camp_606,Aleppo,Kabashin
camp_607,Aleppo,Hamu Raju
camp_608,Aleppo,Tal Tawil
camp_609,Aleppo,Bteita
camp_610,Aleppo,Eskan
camp_611,Aleppo,Burj Haydar
camp_612,Aleppo,Ein Dara
camp_613,Aleppo,Ashani
camp_614,Aleppo,Qotan
camp_615,Aleppo,Khader
camp_616,Aleppo,Yabseh
camp_617,Aleppo,Mudallala Afrin - Eastern Kotanly
camp_618,Aleppo,Ali Jaru
camp_619,Aleppo,Za'ra
camp_620,Aleppo,Khalil - Khleilak
camp_621,Aleppo,Hajeb - Qash Ogli
camp_622,Aleppo,Samha Kilani
camp_623,Aleppo,Ali Elatrash - Olikar
